#Digilent WaveForms Logger
#Device Name: Discovery
#Serial Number: SN:210244449844
#Date Time: 2017-02-06 09:28::28.907

Time (s),C1 DC (V),C2 DC (V),Sense-Power (W),Current (A),Battery Power (W)
260,0.067268173760782243,12.45278157355623,0.00041136429101007211,0.0061152885237074767,0.076152352245004343
261,0.067893010129162129,12.453100934058893,0.00041904189312713739,0.0061720918299238295,0.076861682532321715
262,0.069003591103698719,12.453378057949875,0.00043286323501876814,0.0062730537366998832,0.078120709760958806
263,0.069086271036664038,12.452433337002626,0.00043390116779558222,0.0062805700942421853,0.078208380416923115
264,0.069576321889333631,12.453384522737096,0.00044007859705892422,0.006325120171757603,0.07876915365141833
265,0.067613534730767588,12.453761204355384,0.00041559909807170132,0.0061466849755243266,0.076549346883578978
266,0.067177742584104999,12.45372758746065,0.00041025900897238859,0.0061070675076459087,0.076055755098454414
267,0.068004111289081556,12.454072376127227,0.00042041446838343542,0.0061821919353710507,0.076993465806221115
268,0.068915313050274166,12.453069041107458,0.00043175639752884441,0.0062650284591158336,0.078018831945872544
269,0.068161289286643473,12.452823379181863,0.00042236012338340895,0.0061964808442403155,0.077163681525808381
270,0.067619563475878441,12.453812060684019,0.00041567321496985033,0.0061472330432616766,0.076556485014007594
271,0.066620083661259252,12.453921531085545,0.00040347595882119836,0.0060563712419326593,0.075425572210152447
272,0.066388838223750149,12.454063325424896,0.00040067980369993351,0.0060353489294318321,0.075164617758179383
273,0.067694922789771225,12.453883604332216,0.00041660023377391704,0.0061540838899792026,0.076642244457097011
274,0.069165505972416941,12.453155669259946,0.00043489701967458581,0.0062877732702197216,0.078302619347057872
275,0.069039763574372831,12.452767351023439,0.00043331717767320889,0.0062763421431248027,0.078157828523757022
